"","DELINQ","DEROG","NINQ","CLAGE","BAD","DEBTINC"
"1",0,0,1,94.366666667,"1",NA
"2",2,0,0,121.83333333,"1",NA
"3",0,0,1,149.46666667,"1",NA
"4",1,1,1,194.84216401,"1",NA
"5",0,0,0,93.333333333,"0",NA
"6",0,0,1,101.46600191,"1",37.113613558
"7",2,3,1,77.1,"1",NA
"8",0,0,0,88.766029879,"1",36.884894093
"9",2,0,1,216.93333333,"1",NA
"10",0,0,0,115.8,"1",NA
"11",1,1,1,122.60405287,"1",NA
"12",1,0,1,122.53333333,"1",NA
"13",0,0,2,86.066666667,"1",NA
"14",0,0,0,147.13333333,"0",NA
"15",1,0,0,123,"1",NA
"16",1,0,0,300.86666667,"1",NA
"17",6,2,1,122.9,"1",NA
"18",1,1,1,105.74964198,"1",3.7113122995
"19",0,0,1,54.6,"1",NA
"20",0,0,0,90.992533467,"0",31.588503178
"21",1,0,1,122.26666667,"1",NA
"22",0,1,1,218.53926573,"1",NA
"23",0,0,2,67.2,"1",NA
"24",2,0,0,121.73333333,"1",NA
"25",0,0,3,14.566666667,"1",NA
"26",0,0,1,70.491080032,"1",38.263600731
"27",0,0,0,93.811774855,"0",29.681827045
"28",0,0,1,136.06666667,"1",NA
"29",2,1,0,276.96666667,"1",NA
"30",0,0,0,208,"0",NA
"31",0,0,0,255.73333333,"0",NA
"32",15,2,3,145.63333333,"1",NA
"33",0,4,2,112.63333333,"1",NA
"34",0,1,2,165.33333333,"1",NA
"35",0,0,0,96.10232967,"0",30.051136286
"36",0,0,0,101.54029753,"0",29.915859028
"37",0,3,2,122.20466276,"1",36.211347998
"38",0,0,3,282.80165924,"1",49.20639579
"39",0,0,0,85.884371895,"0",32.059783267
"40",0,0,5,50.8,"1",NA
"41",1,0,0,77.766666667,"1",NA
"42",1,0,1,23.3,"1",NA
"43",0,0,0,130.03335846,"1",NA
"44",0,0,0,187.06666667,"1",NA
"45",0,0,14,9.3,"1",NA
"46",0,0,0,104.2,"1",NA
"47",1,0,5,262.16666667,"1",NA
"48",2,0,0,62.366666667,"1",NA
"49",2,0,0,211.93333333,"0",NA
"50",0,0,0,201.86666667,"0",NA
"51",0,0,1,153.16666667,"1",NA
"52",1,1,1,32.41493353,"0",NA
"53",1,0,0,206.42660206,"0",40.115677278
"54",4,0,1,122.03333333,"1",NA
"55",0,0,0,298.13156403,"1",35.553538789
"56",0,0,3,121.86666667,"1",NA
"57",0,0,0,250.63126922,"0",42.909997351
"58",2,0,0,117.80574784,"1",0.5244992154
"59",0,1,0,139,"1",NA
"60",6,0,0,192.28914897,"1",35.73055919
"61",1,0,0,183.29991561,"1",NA
"62",0,0,0,162.36666667,"1",NA
"63",0,0,0,95.933333333,"1",NA
"64",1,1,1,84.417030462,"1",NA
"65",0,0,2,72.033333333,"1",NA
"66",0,0,1,192.73333333,"0",NA
"67",2,0,0,202.51077515,"0",41.516389699
"68",0,0,0,88.470452135,"0",29.393543382
"69",4,1,0,97.4,"1",NA
"70",0,0,0,204.27249884,"0",20.470915508
"71",0,0,1,129.71732313,"1",26.634347518
"72",6,1,1,252.63333333,"1",NA
"73",0,0,0,203.75153358,"0",20.067042051
"74",1,1,1,114.96849873,"0",22.253949156
"75",0,0,0,204.64799167,"0",42.173165882
"76",0,0,0,146.12324219,"1",24.478881191
"77",1,0,5,150.3,"1",NA
"78",4,0,1,171.66666667,"0",NA
"79",0,0,0,85.277365579,"0",29.343921089
"80",1,0,2,86.566666667,"1",NA
"81",0,0,0,94.724874167,"0",29.390928055
"82",0,0,0,205.58668003,"0",21.806563464
"83",2,0,3,126.53333333,"1",NA
"84",0,0,0,117.79510387,"1",41.286491948
"85",1,3,1,85.333333333,"1",NA
"86",0,0,1,92.133333333,"1",NA
"87",3,0,0,136.13333333,"1",NA
"88",1,0,0,168.66666667,"1",NA
"89",0,0,0,12.2,"1",NA
"90",0,0,3,162,"1",NA
"91",1,0,2,85.8,"1",NA
"92",0,2,1,279,"0",NA
"93",0,0,0,297.9070847,"0",NA
"94",0,0,0,109.56666667,"0",NA
"95",0,2,1,160.3,"0",NA
"96",3,1,1,186.63333333,"1",NA
"97",0,2,0,146.1,"1",NA
"98",1,0,0,212.34930388,"0",39.128717628
"99",2,0,0,227.79298841,"0",39.166328703
"100",0,0,0,100.77465221,"1",33.840919904
"101",2,1,2,63.933333333,"1",NA
"102",4,0,1,165.50503695,"0",22.27817437
"103",0,0,1,211.00259912,"0",19.027704425
"104",0,1,1,93.5,"1",NA
"105",0,0,0,128.83333333,"0",NA
"106",1,0,0,75.433333333,"0",NA
"107",0,0,0,110.27866259,"0",43.450587911
"108",0,0,0,209.87130224,"0",20.20803267
"109",0,0,0,129.93286902,"0",34.181376516
"110",0,0,2,227.02713568,"0",29.582300922
"111",0,0,0,105.12070881,"0",41.806376152
"112",0,2,0,263.97030029,"0",36.432093937
"113",3,0,0,162.39001067,"0",23.581079239
"114",1,1,1,105.74964198,"0",NA
"115",3,1,0,89.86105825,"1",39.158084834
"116",0,1,0,81.349065098,"0",40.70530876
"117",1,1,1,84.417030462,"0",25.227252904
"118",0,0,1,170.36666667,"1",NA
"119",0,0,0,118.76041007,"0",41.421110521
"120",0,0,0,84.417030462,"0",11.652738796
"121",1,0,1,222.6,"1",NA
"122",1,0,2,122.6,"1",NA
"123",4,0,0,125.8,"1",NA
"124",0,0,0,86.166666667,"0",NA
"125",0,2,1,203.86666667,"1",NA
"126",3,2,3,80.1,"1",NA
"127",0,0,0,142.82439151,"0",35.226997192
"128",0,2,0,283.95953809,"0",36.475473283
"129",0,0,0,54.13647743,"0",34.416507811
"130",0,0,2,61.8,"1",NA
"131",0,0,0,182.24833156,"0",29.20902258
"132",2,1,1,90.466666667,"1",NA
"133",0,0,0,137.31972481,"0",34.275293777
"134",3,0,1,160.14631128,"0",21.583760121
"135",0,0,0,275.03239483,"0",43.717635112
"136",3,0,2,179.16257471,"0",22.544392837
"137",0,0,0,141.85899895,"0",37.76961861
"138",0,0,0,101.74676644,"1",33.243156978
"139",0,0,0,112.57341888,"0",41.673996362
"140",0,0,3,81.5,"1",NA
"141",1,1,1,84.417030462,"0",NA
"142",0,0,0,131.93333333,"0",NA
"143",2,1,1,61.64250608,"1",40.590910018
"144",4,0,0,183.63561323,"0",22.795423552
"145",1,1,1,105.74964198,"0",33.705587738
"146",1,1,1,105.74964198,"0",33.354652626
"147",0,0,0,65.032969007,"0",36.699414922
"148",0,0,0,122.59722258,"0",40.616779346
"149",0,0,0,207.14348133,"0",44.107951691
"150",0,0,0,193.63644686,"0",25.897316482
"151",0,0,1,65.7,"1",NA
"152",0,0,2,61.766666667,"1",NA
"153",1,0,0,58.866666667,"1",NA
"154",1,1,1,218.53926573,"1",NA
"155",0,0,0,100.3,"1",NA
"156",1,1,1,114.96849873,"1",NA
"157",2,0,0,121.9,"1",NA
"158",0,0,2,54.733333333,"1",NA
"159",0,0,1,57,"1",NA
"160",0,0,1,72.433333333,"1",NA
"161",1,1,1,122.60405287,"1",NA
"162",0,0,1,88.7,"1",NA
"163",1,0,0,285.33333333,"1",NA
