"DEROG","DELINQ","CLAGE","NINQ","DEBTINC","BAD"
0,0,101.46600191,1,37.113613558,"1"
0,0,88.766029879,0,36.884894093,"1"
0,0,90.992533467,0,31.588503178,"0"
0,0,70.491080032,1,38.263600731,"1"
0,0,93.811774855,0,29.681827045,"0"
0,0,96.10232967,0,30.051136286,"0"
0,0,101.54029753,0,29.915859028,"0"
3,0,122.20466276,2,36.211347998,"1"
0,0,282.80165924,3,49.20639579,"1"
0,0,85.884371895,0,32.059783267,"0"
0,0,298.13156403,0,35.553538789,"1"
0,0,250.63126922,0,42.909997351,"0"
0,6,192.28914897,0,35.73055919,"1"
0,0,88.470452135,0,29.393543382,"0"
0,0,204.27249884,0,20.470915508,"0"
0,0,129.71732313,1,26.634347518,"1"
0,0,203.75153358,0,20.067042051,"0"
0,0,204.64799167,0,42.173165882,"0"
0,0,146.12324219,0,24.478881191,"1"
0,0,85.277365579,0,29.343921089,"0"
0,0,94.724874167,0,29.390928055,"0"
0,0,205.58668003,0,21.806563464,"0"
0,0,117.79510387,0,41.286491948,"1"
0,0,100.77465221,0,33.840919904,"1"
0,4,165.50503695,1,22.27817437,"0"
0,0,211.00259912,1,19.027704425,"0"
0,0,110.27866259,0,43.450587911,"0"
0,0,209.87130224,0,20.20803267,"0"
0,0,129.93286902,0,34.181376516,"0"
0,0,227.02713568,2,29.582300922,"0"
0,0,105.12070881,0,41.806376152,"0"
2,0,263.97030029,0,36.432093937,"0"
0,3,162.39001067,0,23.581079239,"0"
1,3,89.86105825,0,39.158084834,"1"
1,0,81.349065098,0,40.70530876,"0"
0,0,118.76041007,0,41.421110521,"0"
0,0,142.82439151,0,35.226997192,"0"
2,0,283.95953809,0,36.475473283,"0"
0,0,182.24833156,0,29.20902258,"0"
0,0,137.31972481,0,34.275293777,"0"
0,3,160.14631128,1,21.583760121,"0"
0,0,275.03239483,0,43.717635112,"0"
0,3,179.16257471,2,22.544392837,"0"
0,0,141.85899895,0,37.76961861,"0"
0,0,101.74676644,0,33.243156978,"1"
0,0,112.57341888,0,41.673996362,"0"
1,2,61.64250608,1,40.590910018,"1"
0,4,183.63561323,0,22.795423552,"0"
0,0,122.59722258,0,40.616779346,"0"
0,0,207.14348133,0,44.107951691,"0"
0,0,193.63644686,0,25.897316482,"0"
0,0,120.67506316,2,37.512708409,"0"
0,0,148.72040469,0,36.669278612,"0"
1,2,148.34064549,0,46.489874001,"1"
0,0,257.6522064,0,40.952588884,"0"
0,0,125.13062556,0,42.183538672,"0"
0,0,127.49881344,0,40.308259362,"0"
0,0,177.95825512,1,26.257970132,"0"
1,0,273.88170516,0,39.852146515,"0"
0,0,258.78929762,0,26.722343337,"0"
0,0,181.66304016,0,25.444759149,"0"
0,0,277.94456081,1,23.644691283,"0"
1,0,157.85980209,0,25.650741224,"1"
2,0,290.03410799,0,38.766985071,"0"
0,0,125.78740011,1,34.446079222,"0"
0,0,121.0759726,2,36.401729548,"0"
0,0,108.07259081,0,43.290139816,"0"
0,0,266.81346457,1,23.797401058,"0"
0,0,221.11808171,0,42.712093844,"0"
0,0,157.77103572,1,72.670433313,"1"
0,0,221.60848575,2,30.37854757,"0"
1,0,175.32870382,1,40.442570389,"0"
0,0,302.35870946,0,39.196985402,"1"
0,0,124.1821788,1,34.599060194,"0"
0,0,109.93390789,1,35.8385427,"0"
0,0,208.16271401,0,19.762113701,"0"
0,0,197.24195728,0,19.350505633,"0"
0,0,40.709849004,0,37.848771035,"0"
0,0,185.07634726,1,26.354889295,"0"
0,0,136.63294416,0,32.05002349,"0"
0,0,122.9402886,0,44.092325682,"0"
0,1,116.59197688,0,37.612682724,"0"
0,0,55.558049044,2,31.375542416,"0"
0,0,189.29531847,0,20.654128896,"0"
0,0,187.02051879,1,27.646748505,"0"
0,0,186.42441602,1,28.417530896,"0"
2,0,158.5344979,0,43.404430238,"0"
0,1,136.32063746,0,34.494708965,"1"
0,1,82.294266354,0,36.986744097,"1"
0,2,48.995845002,0,33.126483967,"1"
0,0,43.722336946,0,41.452043532,"0"
2,0,150.86584513,0,40.442567785,"0"
0,0,172.21327665,1,32.676640875,"1"
0,0,206.09913412,0,18.369540527,"0"
0,0,200.41843402,1,22.841092848,"0"
0,0,180.56306914,0,21.554949656,"0"
0,0,91.683770634,0,37.773350976,"0"
0,0,204.33524504,0,42.397769638,"0"
0,0,117.49959288,0,38.750562668,"0"
0,0,212.53911509,0,21.258026878,"0"
0,0,128.47645151,0,37.85968784,"0"
0,0,181.28295679,0,24.339533569,"0"
0,0,69.645660473,0,41.185039558,"0"
1,0,21.799352154,10,29.439664242,"0"
0,0,210.34747857,3,31.243408701,"0"
0,0,97.133170952,1,41.777888631,"1"
0,0,117.6739652,0,42.464866285,"0"
0,0,92.643084556,0,41.21001247,"0"
0,0,272.22062826,0,39.896104618,"0"
0,0,157.00977472,0,47.415228659,"1"
1,0,15.396587392,9,30.017013296,"0"
0,0,48.853667057,0,38.773685963,"0"
0,0,266.55339438,1,43.309764541,"0"
0,0,261.40521864,0,42.191941556,"0"
0,0,300.4872058,1,38.940575356,"0"
0,1,307.9748816,1,39.959108765,"0"
0,0,83.289062746,1,30.187805389,"1"
0,0,126.40098356,0,43.20775979,"0"
0,0,71.766557161,0,41.287423388,"0"
0,0,80.131746414,0,24.140153667,"0"
0,0,120.37941429,0,41.442500462,"0"
0,2,157.96001139,3,40.628278175,"1"
0,1,118.44249103,0,40.110407425,"0"
0,0,149.0229081,1,37.954336913,"0"
0,0,226.91430725,2,29.220351072,"0"
0,0,181.69653802,0,37.289989924,"0"
0,0,129.25008957,1,36.746766237,"0"
0,0,70.69532973,0,24.76674453,"0"
0,0,138.64686318,1,31.757270694,"1"
1,0,153.0667831,0,40.15052706,"0"
0,0,350.43613755,0,28.848276581,"0"
0,0,122.24494502,0,32.552543335,"0"
0,0,135.10893025,0,39.783818126,"0"
